900,000,012;BANK;1БАНК;PAO;2,896;10.06.1994;WITHDRAWN;362040, Республика Северная Осетия-Алания, г.Владикавказ, ул. Станиславского, 10;1021500000147
450,000,370;BANK;АБСОЛЮТ БАНК;PAO;2,306;22.04.1993;ACTIVE;127051, г. Москва, Цветной бульвар, д. 18;1027700024560
450,000,785;BANK;АВАНГАРД;PAO;2,879;09.06.1994;ACTIVE;119180,  г. Москва, ул. Большая Якиманка, д.1;1027700367507
920,000,004;BANK;АВЕРС;OOO;415;25.09.1990;ACTIVE;420111, г.Казань, ул.Мусы Джалиля, д.3;1021600000993
920,000,023;BANK;АВТОГРАДБАНК;AO;1,455;26.04.1991;ACTIVE;423831, Республика Татарстан, г.Набережные Челны, проспект  Хасана Туфана,43;1021600000806
920,000,009;BANK;АВТОКРЕДИТБАНК;OOO;1,973;22.07.1992;ACTIVE;420081, г.Казань, пр-т А. Камалеева, д.16а;1021600000366
450,000,618;BANK;АВТОТОРГБАНК;OOO;2,776;05.04.1994;ACTIVE;123007, г. Москва, 1-я Магистральная улица, д. 13, стр. 2;1027739408290
450,001,194;BANK;АГОРА;OOO;3,231;14.03.1995;ACTIVE;127549,  г. Москва, ул. Пришвина, д. 8, корп. 2;1027700156164
120,000,001;BANK;АГРОИНКОМБАНК;PAO;1,946;06.07.1992;WITHDRAWN;414000, город Астрахань, пл. Ленина/ул. Бурова, 10/3, помещение 73;1023000927520
460,000,012;BANK;АГРОПРОМКРЕДИТ;AO;2,880;09.06.1994;ACTIVE;119121, город Москва, улица Бурденко, дом 22.;1095000004252
630,000,015;BANK;АГРОРОС;AO;2,860;23.05.1994;ACTIVE;410017, г.Саратов, ул.Чернышевского, 90;1026400001770
530,000,007;BANK;АГРОСОЮЗ;OOO;1,459;17.05.1991;WITHDRAWN;101000, г. Москва, Уланский пер., д. 13, стр. 1;1025600001130
450,001,072;BANK;АДМИРАЛТЕЙСКИЙ;OOO;3,054;17.08.1994;WITHDRAWN;119034,  г. Москва, Лопухинский пер., д.6, стр.1;1037739763753
100,000,003;BANK;АЗИАТСКО-ТИХООКЕАНСКИЙ БАНК;AO;1,810;14.02.1992;ACTIVE;675000, Амурская обл., г. Благовещенск, ул.Амурская, 225;1022800000079
450,016,176;BANK;АЗИЯ-ИНВЕСТ БАНК;AO;3,303;30.08.1996;ACTIVE;119180, г. Москва, 2-й Казачий пер., д. 3, стр. 1;1027739278973
450,016,204;BANK;АЙВИ БАНК;AO;2,055;11.09.1992;WITHDRAWN;125195, г.Москва, Ленинградское шоссе, д. 59;1027739824881
840,000,001;BANK;АЙМАНИБАНК;OOO;1,975;27.07.1992;WITHDRAWN;125212, г.Москва, ул. Выборгская, д. 16, корп. 2;1020400000081
450,054,198;BANK;АЙСИБИСИ БАНК;AO;3,475;30.08.2007;ACTIVE;109028, г. Москва, Серебряническая наб., д. 29;1077711000157
920,000,005;BANK;АК БАРС;PAO;2,590;29.11.1993;ACTIVE;420066, г.Казань, ул.Декабристов,1;1021600000124
820,000,046;BANK;АКАДЕМИЧЕСКИЙ РУССКИЙ БАНК;OOO;622;29.10.1990;WITHDRAWN;117447, г. Москва, улица Дмитрия Ульянова, дом 35, строение 1;1027700057440
920,000,006;BANK;АКИБАНК;PAO;2,587;25.11.1993;ACTIVE;423827, Республика Татарстан, город Набережные Челны, проспект Мира, д.88а;1021600000839
340,000,005;BANK;АКСОНБАНК;OOO;680;01.11.1990;WITHDRAWN;156961, г. Кострома, пр-т Мира, 55;1024400002978
890,000,007;BANK;АКТИВ БАНК;AO;2,529;14.10.1993;WITHDRAWN;430005, Республика Мордовия, г. Саранск, ул. Б. Хмельницкого, д. 36А;1021300001029
360,000,010;BANK;АКТИВКАПИТАЛ БАНК;AO;3,006;29.07.1994;WITHDRAWN;443001, г.Самара, ул. Вилоновская, д. 84;1026300005170
530,000,024;BANK;АКЦЕНТ;PAO;696;02.11.1990;WITHDRAWN;462431, Оренбургская обл., г. Орск, просп. Ленина, 75а;1025600000865
500,000,012;BANK;АКЦЕПТ;AO;567;24.10.1990;ACTIVE;630099, г. Новосибирск, ул.Советская, 14;1025400000427
240,000,001;BANK;АКЦИЯ;OAO;927;30.10.1992;WITHDRAWN;153000, г.Иваново, ул.Ташкентская, 14;1023700000169
980,000,007;BANK;АЛДАНЗОЛОТОБАНК;AO;854;21.11.1990;WITHDRAWN;678900, Республика Саха (Якутия), г. Алдан, улица 10 лет Якутии ,31-а;1021400001040
400,000,037;BANK;АЛЕКСАНДРОВСКИЙ;PAO;53;30.06.1992;ACTIVE;191119, Санкт-Петербург, Загородный пр., 46, литер Б, корпус 2;1027800000194
460,000,022;BANK;АЛЕФ-БАНК;AO;2,119;16.10.1992;ACTIVE;121467, г. Москва, ул. Молдавская, д. 5;1027739176080
980,000,022;BANK;АЛМАЗЭРГИЭНБАНК;AO;2,602;06.12.1993;ACTIVE;677000, Республика Саха (Якутия), город. Якутск, проспект Ленина, 1;1031403918138
10,000,004;BANK;АЛТАЙКАПИТАЛБАНК;OOO;2,659;21.01.1994;ACTIVE;656043, Алтайский край, г.Барнаул, ул.Л.Толстого, 38а;1022200531484
920,000,008;BANK;АЛТЫНБАНК;OOO;2,070;10.09.1992;ACTIVE;420124, г.Казань, улица Фатыха Амирхана, д.15;1151600000100
460,000,015;BANK;АЛЬБА АЛЬЯНС;OOO;2,593;03.12.1993;ANNULLED;119019, г. Москва, Кремлевская набережная, д. 1, стр. 2;1025000004787
450,000,344;BANK;АЛЬТА-БАНК;ZAO;2,269;29.01.1993;WITHDRAWN;125047, г. Москва, ул. 2-ая Брестская, д. 30;1027739047181
450,044,555;RNKO;АЛЬТЕРНАТИВА;OOO;3,452;27.01.2005;ACTIVE;107023, г. Москва, ул. Малая Семеновская, д. 1, стр. 1;1057711000820
450,000,036;BANK;АЛЬФА-БАНК;AO;1,326;03.01.1991;ACTIVE;107078,  г. Москва, ул. Каланчевская, д. 27;1027700067328
450,001,076;BANK;АМБ БАНК;PAO;3,036;04.08.1994;WITHDRAWN;123242,  г. Москва, Новинский бульвар, д. 31;1027700034372
450,050,166;BANK;АМЕРИКЭН ЭКСПРЕСС БАНК;OOO;3,460;15.12.2005;ACTIVE;119048, г. Москва, ул. Усачева, д. 33, стр. 1;1057711014800
460,000,019;BANK;АМТ БАНК;OOO;2,820;10.05.1994;WITHDRAWN;129110, г.Москва, проспект Мира, д. 62, стр.1;1027700182366
920,000,014;BANK;АНКОР БАНК;AO;889;09.12.1992;WITHDRAWN;420101, г.Казань, ул. Братьев Касимовых, 47;1021600000597
450,001,001;BANK;АНТАЛБАНК;OOO;3,115;10.10.1994;WITHDRAWN;109044, г. Москва, ул. Симоновский вал, д. 9;1027739138558
450,000,423;BANK;АПАБАНК;AO;2,404;29.06.1993;WITHDRAWN;123100,  г. Москва, Студенецкий переулок, дом 3;1037700043732
450,039,251;RNKO;АРБ-ИНКАСС;OOO;3,353;10.11.2000;WITHDRAWN;115114, г. Москва, ул. Дербеневская, д. 1, стр. 1, офис 43;1037739751224
450,001,040;BANK;АРЕСБАНК;OOO;2,914;22.06.1994;ACTIVE;123112,  г. Москва, ул. Тестовская, д. 10;1027739554930
220,000,004;BANK;АРЗАМАС;AO;1,281;24.12.1990;ACTIVE;607220, Нижегородская область, г.Арзамас, улица Кирова, 33;1025200000011
680,000,001;BANK;АРКСБАНК;AO;1,868;22.05.1992;WITHDRAWN;105064, г. Москва, ул. Казакова, дом 27;1026800000028
450,000,904;BANK;АРСЕНАЛ;OOO;3,000;27.07.1994;WITHDRAWN;123557, г. Москва, ул. Пресненский Вал, д. 14, стр. 3;1027739258271
900,000,008;BANK;АРТ-БАНК;OOO;2,779;06.04.1994;WITHDRAWN;362008,Республика Северная Осетия-Алания, г.Владикавказ, пр. Коста,93;1021500002677
660,000,001;BANK;АСКОЛЬД;OAO;2,480;03.09.1993;WITHDRAWN;214000 г.Смоленск, ул. Докучаева, 5;1026700000018
450,000,699;BANK;АСПЕКТ;AO;608;26.10.1990;WITHDRAWN;129327,  г. Москва, ул. Ленская, д. 28;1027739326207
220,000,023;BANK;АССОЦИАЦИЯ;AO;732;12.11.1990;WITHDRAWN;603000, г.Нижний Новгород, ул.М. Горького, 61;1025200000352
800,000,013;BANK;АФ БАНК;OAO;991;28.11.1990;WITHDRAWN;450057, Республика Башкортостан, город Уфа, улица Октябрьской революции, 78;1020280000014
810,000,006;BANK;БАЙКАЛБАНК;PAO;2,632;24.12.1993;WITHDRAWN;670034, Республика Бурятия, г. Улан-Удэ, ул.Красноармейская,28;1020300003460
250,000,011;BANK;БАЙКАЛКРЕДОБАНК;AO;2,990;20.07.1994;ACTIVE;664025, Иркутская область, г. Иркутск, ул. Ленина, 18;1023800000278
630,000,004;BANK;БАЛАКОВО-БАНК;AO;444;08.10.1990;ACTIVE;413857, Саратовская область, г.Балаково, ул.Факел Социализма, 21;1026400002265
270,000,018;BANK;БАЛТИКА;PAO;967;27.11.1990;WITHDRAWN;121069, г.Москва, пер. Трубниковский, д. 13, стр. 1;1023900001993
400,000,022;BANK;БАЛТИНВЕСТБАНК;PAO;3,176;13.12.1994;ACTIVE;197101, Санкт-Петербург, ул. Дивенская, дом 1, литера А;1027800001570
30,000,024;BANK;БАНК - Т;OAO;625;30.10.1990;WITHDRAWN;123610, г. Москва, Краснопресненская наб., д. 12;1062300007901
400,000,031;BANK;БАНК САНКТ-ПЕТЕРБУРГ;PAO;436;03.10.1990;ACTIVE;195112, г. Санкт-Петербург, Малоохтинский пр., д. 64, лит. А;1027800000140
512,052,393;BANK;БАНК 131;OOO;3,538;21.03.2019;ACTIVE;420012, Республика Татарстан, г. Казань, ул. Некрасова, д. 38;1191690025746
512,003,408;BANK;БАНК БЕРЕЙТ;AO;3,505;17.01.2012;ACTIVE;187015, Ленинградская область, Тосненский район, г.п. Красный Бор, ул. Промышленная, д. 3, пом.II;1124700000160
450,000,348;BANK;БАНК БФТ;OOO;2,273;22.02.1993;WITHDRAWN;115184, г. Москва, Руновский пер., д. 6, стр. 2;1027739564786
870,000,002;BANK;БАНК ГОРОД;AO;2,644;06.01.1994;WITHDRAWN;115280, г.Москва, 1-й Автозаводский проезд, д. 4, корп. 1;1021100000030
450,000,375;BANK;БАНК ДОМ.РФ;AO;2,312;23.04.1993;ACTIVE;125009, г. Москва, ул. Воздвиженка, д. 10;1037739527077
450,000,847;BANK;БАНК ЖИЛИЩНОГО ФИНАНСИРОВАНИЯ;AO;3,138;20.10.1994;ACTIVE;121357, г. Москва, ул. Верейская, д. 29, стр. 134;1027739098639
450,001,204;BANK;БАНК ЗЕНИТ;PAO;3,255;22.06.1995;ACTIVE;117638, г. Москва, Одесская ул., д. 2;1027739056927
450,000,323;BANK;БАНК ИНТЕЗА;AO;2,216;31.12.1992;ACTIVE;101000,  г. Москва, Петроверигский пер., д. 2;1027739177377
920,000,028;BANK;БАНК КАЗАНИ;OOO;708;02.11.1990;ACTIVE;420066, г.Казань, ул.Солдатская, д.1;1021600000014
450,000,567;BANK;БАНК КОРПОРАТИВНОГО ФИНАНСИРОВАНИЯ;OOO;2,684;11.02.1994;ACTIVE;123376, г. Москва, ул. Красная Пресня, д. 24;1027739542050
450,000,465;BANK;БАНК КРЕДИТ СВИСС (МОСКВА);AO;2,494;13.09.1993;ACTIVE;125047, г. Москва, ул. 1-я Тверская-Ямская, д. 21;1027739526935
820,000,068;BANK;БАНК МБФИ;OAO;2,073;10.09.1992;WITHDRAWN;105062, г. Москва, Подсосенский  пер, д. 17;1020500000510
450,001,198;BANK;БАНК МИР ПРИВИЛЕГИЙ;OOO;3,224;01.03.1995;ACTIVE;121069,  г. Москва, ул.Поварская, д.23, стр.4;1137711000096
450,000,450;BANK;БАНК НА КРАСНЫХ ВОРОТАХ;AO;2,472;26.08.1993;WITHDRAWN;105005,  г. Москва, ул. Бауманская, д. 58/25, строение 1;1027739045025
250,000,008;BANK;БАНК ОРАНЖЕВЫЙ;OOO;1,659;10.12.1991;ACTIVE;190013, г. Санкт-Петербург, ул. Рузовская, д. 16, лит. А, помещение 13-Н;1023800000322
530,000,004;BANK;БАНК ОРЕНБУРГ;AO;3,269;22.09.1995;ACTIVE;460024, Оренбургская область, г. Оренбург, ул. Маршала Г.К.Жукова, 25;1025600002230
870,000,006;BANK;БАНК ПРЕМЬЕР КРЕДИТ;PAO;1,663;16.12.1991;WITHDRAWN;111250, г.Москва, улица Солдатская, дом 8, корпус 1;1021100000085
320,000,009;BANK;БАНК РАЗВИТИЯ БИЗНЕСА;OOO;1,910;01.06.1992;WITHDRAWN;650000, Кемеровская область, г.Кемерово, проспект Советский, д.56;1024200002859
900,000,009;BANK;БАНК РАЗВИТИЯ РЕГИОНА;OAO;3,315;25.08.1997;WITHDRAWN;362019, Республика Северная Осетия-Алания, г.Владикавказ, ул. Шмулевича, 8а;1021500000202
450,000,471;BANK;БАНК РАУНД;OOO;2,506;21.09.1993;ACTIVE;121609,  г. Москва, ш. Рублевское, д. 28;1027700140753
450,000,505;BANK;БАНК РМП;AO;2,574;12.11.1993;ACTIVE;123557, г. Москва, ул. Климашкина, д. 21, стр. 1;1027739153573
450,042,110;BANK;БАНК РСИ;OOO;3,415;28.05.2002;ACTIVE;115184, г. Москва, ул. Малая Ордынка, д. 35, стр. 1, подъезд 2;1027739312589
450,000,512;BANK;БАНК СБЕРЕЖЕНИЙ И КРЕДИТА;ZAO;2,581;23.11.1993;WITHDRAWN;115054,  г. Москва, ул. Новокузнецкая,  д. 36/2, стр. 1;1037739299685
190,000,006;BANK;БАНК СГБ;AO;2,816;29.04.1994;ACTIVE;160001 г.Вологда, ул. Благовещенская д. 3;1023500000160
450,000,627;BANK;БАНК ФИНАМ;AO;2,799;19.04.1994;ACTIVE;127006,  г. Москва, Настасьинский переулок, дом 7, строение 2;1037739001046
630,000,005;BANK;БАНК ФИНИНВЕСТ;OOO;671;31.10.1990;WITHDRAWN;199226, г. Санкт-Петербург, улица Нахимова, дом 15, лит. Е.;1026400002310
512,032,426;BANK;БАНК ЧБРР;AO;3,527;13.08.2014;ACTIVE;295001, Республика Крым, г.Симферополь, ул.Большевистская, 24;1149102030186
650,000,030;BANK;БАНК24.РУ;OAO;2,227;19.11.1992;WITHDRAWN;125047, г.Москва, ул.Тверская-Ямская 1-я, д. 26;1026600002098
400,000,007;BANK;БАНКИРСКИЙ ДОМ;AO;2,928;27.06.1994;WITHDRAWN;197046, Санкт-Петербург, ул. Малая Посадская, 16, литер А, пом.6Н;1027800011524
270,000,020;BANK;ББР БАНК;AO;2,929;27.06.1994;ACTIVE;121099, г. Москва, 1-й Николощеповский переулок, д. 6, стр. 1;1027700074775
140,000,005;BANK;БЕЛГОРОДСОЦБАНК;AO;760;31.10.1990;ACTIVE;308000, Белгородская область, г. Белгород, Белгородский проспект, 73;1023100000560
450,001,155;BANK;БЕНИФИТ-БАНК;ZAO;3,229;14.03.1995;WITHDRAWN;125047,  г. Москва, ул. 2-я Брестская, д. 32;1027739246160
970,000,006;BANK;БИЗНЕС ДЛЯ БИЗНЕСА;OOO;1,060;03.12.1990;WITHDRAWN;429060, Чувашская Республика, г.Ядрин, ул.Красноармейская, 5;1022100008325
320,000,012;BANK;БИЗНЕС-СЕРВИС-ТРАСТ;AO;2,883;10.06.1994;ACTIVE;654041, Кемеровская область-Кузбасс, г.Новокузнецк, ул.Кутузова,31;1024200002276
500,000,013;BANK;БКС БАНК;AO;101;30.12.1991;ACTIVE;129110, г. Москва, проспект Мира, д. 69, стр. 1;1055400000369
580,000,003;BANK;БЛАНК БАНК;OOO;2,368;01.06.1993;ACTIVE;119048, г. Москва, ул. Усачева, д. 35, стр. 1;1026000001796
450,000,601;BANK;БМ-БАНК;AO;2,748;15.03.1994;ACTIVE;107996, г. Москва, ул. Рождественка, д. 8, стр. 1;1027700159497
450,055,312;BANK;БМВ БАНК;OOO;3,482;17.03.2008;ACTIVE;125212, г. Москва, Ленинградское шоссе, дом 39А, строение 1;1085000001998
450,042,062;BANK;БНП ПАРИБА БАНК;AO;3,407;28.05.2002;ACTIVE;125047, г. Москва, ул. Лесная, д. 5;1027700045780
220,000,010;BANK;БОГОРОДСКИЙ;OOO;1,277;24.12.1990;WITHDRAWN;607600, Нижегородская область, г.Богородск, улица Ленина, 185;1025200000077
460,000,039;BANK;БОГОРОДСКИЙ МУНИЦИПАЛЬНЫЙ БАНК;OOO;2,992;26.07.1994;WITHDRAWN;142400, Московская область, г.Ногинск, ул.Советская, д.45;1025000006822
450,000,133;BANK;БПФ;ZAO;1,677;24.12.1991;WITHDRAWN;125195, г. Москва, Ленинградское шоссе, д. 59;1027739042572
250,000,004;BANK;БРАТСКИЙ АНКБ;AO;1,144;10.12.1990;ACTIVE;665717, Иркутская область, г. Братск, ул. Комсомольская,43;1023800000069
450,000,229;BANK;БТФ;AO;1,982;31.07.1992;WITHDRAWN;109012, г. Москва, ул. Никольская, д. 10;1177700006780
530,000,002;BANK;БУЗУЛУКБАНК;OAO;1,282;24.12.1990;WITHDRAWN;461050, Оренбургская область, г. Бузулук, ул. Спортивная, д. 17-а;1025600002064
920,000,013;BANK;БУЛГАР БАНК;AO;1,917;12.06.1992;WITHDRAWN;150040, г. Ярославль, проспект Ленина, д. 37/73;1021600003160
830,000,007;BANK;БУМ-БАНК;OOO;1,137;10.12.1990;WITHDRAWN;360000, Кабардино-Балкарская Республика, г.Нальчик, ул.Ногмова, д. 62;1020700000254
190,000,013;BANK;БУМЕРАНГ;AO;1,002;28.11.1990;WITHDRAWN;162602, Вологодская обл., г.Череповец, ул. Коммунистов д. 22;1033501065730
450,000,836;BANK;БФГ-КРЕДИТ;OOO;3,068;01.09.1994;WITHDRAWN;121165,  г. Москва, Кутузовский проспект, д.35/30;1037739226128
940,000,003;BANK;БЫСТРОБАНК;PAO;1,745;02.04.1992;ACTIVE;426008, Удмуртская Республика, г.Ижевск, ул.Пушкинская,268;1021800001508
450,000,373;BANK;БЭНК ОФ ЧАЙНА;AO;2,309;23.04.1993;ACTIVE;129110,  г. Москва, Проспект Мира, д.72;1027739857551
790,000,007;BANK;ВАЙЛДБЕРРИЗ;OOO;841;20.11.1990;ACTIVE;127051, г. Москва, Большой Каретный переулок, д.20, стр.2;1020100002340
580,000,004;BANK;ВАКОБАНК;AO;1,291;26.12.1990;ACTIVE;182110, Псковская область, г. Великие Луки, ул. К. Либкнехта, д. 15;1026000002160
250,000,006;BANK;ВАШ ЛИЧНЫЙ БАНК;AO;1,222;18.12.1990;WITHDRAWN;666784, Иркутская область, г. Усть-Кут, ул. Кирова, 85а;1063800023572
780,000,004;BANK;ВВБ;PAO;1,093;05.12.1990;WITHDRAWN;299011, г. Севастополь, ул. 4-я Бастионная, д. 3а;1027600000020
460,000,023;BANK;ВЕГА-БАНК;OOO;3,270;22.09.1995;WITHDRAWN;105118, г. Москва, проспект Буденного, д. 32 А;1027739059710
450,000,366;BANK;ВЕК;AO;2,299;16.04.1993;WITHDRAWN;123242,  г. Москва, ул.Малая Грузинская, д.10 стр.1;1027739224160
580,000,002;BANK;ВЕЛИКИЕ ЛУКИ БАНК;AO;598;26.10.1990;ACTIVE;182110, Псковская область, г. Великие Луки, ул. Комсомольская, д. 27-а;1026000001774
730,000,006;BANK;ВЕНЕЦ;AO;524;19.10.1990;ACTIVE;432071, г. Ульяновск, ул. Марата, 19;1027300000166
450,001,153;RNKO;ВЕСТЕРН ЮНИОН ДП ВОСТОК;OOO;2,726;01.03.1994;ACTIVE;125171,  г. Москва, Ленинградское шоссе, д. 16А, строение 1;1037739616122
450,040,356;BANK;ВЕСТИНТЕРБАНК;OOO;3,398;06.02.2002;WITHDRAWN;123001, г. Москва, Вспольный переулок, д. 5, стр.1;1027700051390
500,000,011;BANK;ВЗАИМОДЕЙСТВИЕ;OOO;1,704;08.01.1992;WITHDRAWN;630102, г. Новосибирск,  ул.Нижегородская, дом 6А;1025400000053
400,000,036;BANK;ВИКИНГ;AO;2;27.12.1991;ACTIVE;191002 Санкт-Петербург, Владимирский проспект, дом 17;1027800000250
400,000,003;BANK;ВИТАБАНК;PAO;356;22.11.1991;ACTIVE;195220, Санкт-Петербург, пр. Непокоренных,17, корп 4, литер В;1027800000183
450,000,218;BANK;ВИТАС;OOO;1,955;14.07.1992;WITHDRAWN;129327,  г. Москва, ул.Енисейская, д.22, корп.2;1027739287355
450,001,171;BANK;ВИТЯЗЬ;OOO;2,890;10.06.1994;WITHDRAWN;129090,  г. Москва, Ботанический переулок, д. 14, стр. 3;1027739432940
170,000,001;BANK;ВЛАДБИЗНЕСБАНК;AO;903;19.01.1993;ACTIVE;600015, г.Владимир, пр-т Ленина,35;1023300000063
170,000,003;BANK;ВЛАДИМИРСКИЙ ПРОМЫШЛЕННЫЙ БАНК;OOO;870;21.11.1990;WITHDRAWN;600020, г.Владимир, ул. Большая Нижегородская, д.9;1023300000052
450,000,919;BANK;ВНЕШПРОМБАНК;OOO;3,261;03.07.1995;WITHDRAWN;119991,  г. Москва, Комсомольский проспект, д. 42, строение 1;1027700514049
820,000,012;BANK;ВНЕШФИНБАНК;OOO;3,173;05.12.1994;ACTIVE;350059, г. Краснодар,  ул. Волжская, д. 47;1020500003919
360,000,008;BANK;ВОЛГА-КРЕДИТ;OAO;1,153;11.12.1990;WITHDRAWN;443030, г.Самара, ул.Вилоновская, 138;1026300001815
360,000,018;BANK;ВОЛГО-КАМСКИЙ БАНК;OAO;282;27.04.1990;WITHDRAWN;443096, город Самара, Ленинский район, проспект Карла Маркса, д.10;1026300001782
360,000,006;BANK;ВОЛЖСКИЙ СОЦИАЛЬНЫЙ БАНК;OOO;2,428;21.07.1993;WITHDRAWN;443041, г.Самара, ул. Садовая, 175;1026300001860
190,000,010;BANK;ВОЛОГДАБАНК;AO;992;28.11.1990;WITHDRAWN;160001, г.Вологда, ул. Мира, д. 36;1023500000040
190,000,008;BANK;ВОЛОГЖАНИН;AO;1,896;21.05.1992;ACTIVE;160000, г. Вологда, ул. Козленская, д. 10;1023500000655
200,000,003;BANK;ВОРОНЕЖ;AO;654;31.10.1990;WITHDRAWN;394006, г. Воронеж, ул. Челюскинцев, 149;1023600002084
250,000,013;BANK;ВОСТСИБТРАНСКОМБАНК;AO;2,731;04.03.1994;WITHDRAWN;664025, Иркутская область, г. Иркутск, ул. Бурлова, 2;1023800000047
450,000,822;BANK;ВПБ;AO;3,065;01.09.1994;WITHDRAWN;115477, г. Москва, ул. Кантемировская, д. 59 А;1037700098215
450,016,049;BANK;ВСЕРОССИЙСКИЙ БАНК РАЗВИТИЯ РЕГИОНОВ;AO;3,287;27.03.1996;ACTIVE;129594,  г. Москва, Сущевский вал, дом 65, корп.1;1027739186914
350,000,008;BANK;ВТБ;PAO;1,000;17.10.1990;ACTIVE;191144, г. Санкт-Петербург, Дегтярный переулок, д.11. лит. А;1027739609391
650,000,002;BANK;ВУЗ-БАНК;AO;1,557;05.09.1991;ACTIVE;620142, Свердловская область, г. Екатеринбург, ул. 8 Марта, д. 49, помещения №№ 53, 54 на первом этаже;1026600001042
410,000,003;BANK;ВЫБОРГ-БАНК;PAO;720;06.11.1990;WITHDRAWN;188800 Ленинградская область, город Выборг, улица Пионерская, дом 2;1024700000071
610,000,004;BANK;ВЯТИЧ;PAO;2,796;19.04.1994;ACTIVE;390046, г. Рязань, ул.Введенская, д.110;1026200000386
450,000,698;BANK;ГАГАРИНСКИЙ;AO;606;26.10.1990;WITHDRAWN;119361,  г. Москва, 2-ой Очаковский пер., д.7;1027739325624
360,000,011;BANK;ГАЗБАНК;AO;2,316;28.04.1993;WITHDRAWN;443100, г.Самара, ул.Молодогвардейская, д.224;1026300002244
630,000,019;BANK;ГАЗНЕФТЬБАНК;AO;3,223;28.02.1995;ACTIVE;410052, г.Саратов, пр-т 50 лет Октября, 118а;1026400001870
450,000,661;BANK;ГАЗПРОМБАНК;AO;354;23.01.1992;ACTIVE;117420,  г. Москва, ул. Наметкина, д. 16, корпус 1;1027700167110
450,001,027;BANK;ГАЗСТРОЙБАНК;AO;2,919;24.06.1994;WITHDRAWN;115432, г. Москва, ул. Трофимова, д. 2/1;1027739224941
